"count","jurisdiccion_aplicacion","fecha_aplicacion","nombre_dosis_generica"
1,"Córdoba","2021-05-28","1ra"
1,"Córdoba","2021-05-29","1ra"
2,"Córdoba","2021-05-29","2da"
1,"Córdoba","2021-05-31","1ra"
2,"Córdoba","2021-06-01","1ra"
1,"Córdoba","2021-06-02","1ra"
2,"Córdoba","2021-06-03","1ra"
8,"Córdoba","2021-06-04","1ra"
1,"Córdoba","2021-06-05","1ra"
1,"Córdoba","2021-06-06","2da"
2,"Córdoba","2021-06-07","1ra"
1,"Córdoba","2021-06-08","1ra"
1,"Córdoba","2021-06-09","1ra"
1,"Córdoba","2021-06-09","2da"
1,"Córdoba","2021-06-10","1ra"
5,"Córdoba","2021-06-11","1ra"
1,"Córdoba","2021-06-12","1ra"
1,"Córdoba","2021-06-14","1ra"
3,"Córdoba","2021-06-14","2da"
9,"Córdoba","2021-06-18","1ra"
2,"Córdoba","2021-06-19","1ra"
1,"Córdoba","2021-06-24","1ra"
3,"Córdoba","2021-06-25","1ra"
1,"Córdoba","2021-06-25","2da"
3,"Córdoba","2021-06-26","1ra"
2,"Córdoba","2021-06-26","2da"
3,"Córdoba","2021-06-28","1ra"
1,"Córdoba","2021-06-28","2da"
2,"Córdoba","2021-06-30","1ra"
2,"Córdoba","2021-06-30","2da"
2,"Córdoba","2021-07-01","1ra"
3,"Córdoba","2021-07-02","1ra"
1,"Córdoba","2021-07-02","2da"
1,"Córdoba","2021-07-03","2da"
2,"Córdoba","2021-07-06","1ra"
1,"Córdoba","2021-07-07","1ra"
1,"Córdoba","2021-07-08","1ra"
3,"Córdoba","2021-07-10","1ra"
1,"Córdoba","2021-07-13","1ra"
3,"Córdoba","2021-07-14","1ra"
1,"Córdoba","2021-07-14","2da"
5,"Córdoba","2021-07-15","1ra"
2,"Córdoba","2021-07-16","1ra"
3,"Córdoba","2021-07-16","2da"
3,"Córdoba","2021-07-17","1ra"
8,"Córdoba","2021-07-17","2da"
1,"Córdoba","2021-07-18","1ra"
5,"Córdoba","2021-07-19","1ra"
5,"Córdoba","2021-07-20","1ra"
2,"Córdoba","2021-07-21","1ra"
2,"Córdoba","2021-07-22","1ra"
1,"Córdoba","2021-07-23","1ra"
3,"Córdoba","2021-07-23","2da"
1,"Córdoba","2021-07-24","2da"
1,"Córdoba","2021-07-25","2da"
3,"Córdoba","2021-07-26","2da"
5,"Córdoba","2021-07-28","1ra"
1,"Córdoba","2021-07-28","2da"
2,"Córdoba","2021-07-30","1ra"
2,"Córdoba","2021-07-30","2da"
1,"Córdoba","2021-08-01","1ra"
1,"Córdoba","2021-08-02","1ra"
1,"Córdoba","2021-08-02","2da"
2,"Córdoba","2021-08-03","1ra"
8,"Córdoba","2021-08-05","2da"
5,"Córdoba","2021-08-06","2da"
1,"Córdoba","2021-08-08","2da"
3,"Córdoba","2021-08-09","2da"
2,"Córdoba","2021-08-10","1ra"
3,"Córdoba","2021-08-10","2da"
1,"Córdoba","2021-08-11","2da"
3,"Córdoba","2021-08-12","2da"
1,"Córdoba","2021-08-13","1ra"
3,"Córdoba","2021-08-13","2da"
1,"Córdoba","2021-08-14","2da"
1,"Córdoba","2021-08-16","1ra"
1,"Córdoba","2021-08-17","1ra"
1,"Córdoba","2021-08-17","2da"
1,"Córdoba","2021-08-18","1ra"
1,"Córdoba","2021-08-18","2da"
1,"Córdoba","2021-08-19","2da"
3,"Córdoba","2021-08-20","1ra"
1,"Córdoba","2021-08-20","2da"
1,"Córdoba","2021-08-23","2da"
3,"Córdoba","2021-08-24","1ra"
2,"Córdoba","2021-08-24","2da"
6,"Córdoba","2021-08-25","2da"
3,"Córdoba","2021-08-26","2da"
9,"Córdoba","2021-08-27","2da"
2,"Córdoba","2021-08-28","1ra"
2,"Córdoba","2021-08-28","2da"
1,"Córdoba","2021-08-29","2da"
1,"Córdoba","2021-08-30","1ra"
1,"Córdoba","2021-08-30","2da"
6,"Córdoba","2021-08-31","2da"
1,"Córdoba","2021-09-01","1ra"
4,"Córdoba","2021-09-01","2da"
2,"Córdoba","2021-09-02","2da"
2,"Córdoba","2021-09-03","2da"
1,"Córdoba","2021-09-04","1ra"
2,"Córdoba","2021-09-04","2da"
3,"Córdoba","2021-09-06","2da"
3,"Córdoba","2021-09-07","2da"
1,"Córdoba","2021-09-08","2da"
2,"Córdoba","2021-09-09","2da"
1,"Córdoba","2021-09-10","2da"
1,"Córdoba","2021-09-13","1ra"
1,"Córdoba","2021-09-15","2da"
2,"Córdoba","2021-09-16","2da"
4,"Córdoba","2021-09-17","2da"
1,"Córdoba","2021-09-18","1ra"
2,"Córdoba","2021-09-18","2da"
2,"Córdoba","2021-09-20","1ra"
1,"Córdoba","2021-09-23","2da"
2,"Córdoba","2021-09-24","1ra"
1,"Córdoba","2021-09-24","2da"
4,"Córdoba","2021-09-27","2da"
2,"Córdoba","2021-09-28","2da"
1,"Córdoba","2021-09-29","2da"
1,"Córdoba","2021-10-05","1ra"
1,"Córdoba","2021-10-11","1ra"
1,"Córdoba","2021-10-12","2da"
2,"Córdoba","2021-10-13","1ra"
1,"Córdoba","2021-10-13","Unica"
3,"Córdoba","2021-10-14","1ra"
1,"Córdoba","2021-10-14","2da"
5,"Córdoba","2021-10-15","1ra"
1,"Córdoba","2021-10-16","1ra"
2,"Córdoba","2021-10-18","1ra"
1,"Córdoba","2021-10-18","2da"
2,"Córdoba","2021-10-19","1ra"
1,"Córdoba","2021-10-19","2da"
3,"Córdoba","2021-10-21","1ra"
1,"Córdoba","2021-10-21","2da"
2,"Córdoba","2021-10-22","1ra"
2,"Córdoba","2021-10-22","2da"
1,"Córdoba","2021-10-23","2da"
5,"Córdoba","2021-10-25","1ra"
4,"Córdoba","2021-10-26","1ra"
2,"Córdoba","2021-10-26","2da"
2,"Córdoba","2021-10-27","1ra"
1,"Córdoba","2021-10-27","2da"
2,"Córdoba","2021-10-28","1ra"
1,"Córdoba","2021-10-29","2da"
1,"Córdoba","2021-10-30","1ra"
1,"Córdoba","2021-10-30","Adicional"
1,"Córdoba","2021-11-01","Adicional"
1,"Córdoba","2021-11-02","1ra"
2,"Córdoba","2021-11-02","Adicional"
1,"Córdoba","2021-11-03","1ra"
1,"Córdoba","2021-11-03","Adicional"
1,"Córdoba","2021-11-04","2da"
2,"Córdoba","2021-11-05","1ra"
2,"Córdoba","2021-11-05","2da"
1,"Córdoba","2021-11-05","Adicional"
1,"Córdoba","2021-11-09","2da"
1,"Córdoba","2021-11-09","Adicional"
1,"Córdoba","2021-11-10","2da"
3,"Córdoba","2021-11-10","Adicional"
2,"Córdoba","2021-11-11","1ra"
3,"Córdoba","2021-11-11","2da"
1,"Córdoba","2021-11-12","1ra"
2,"Córdoba","2021-11-12","2da"
2,"Córdoba","2021-11-13","2da"
1,"Córdoba","2021-11-15","1ra"
3,"Córdoba","2021-11-15","2da"
1,"Córdoba","2021-11-15","Adicional"
1,"Córdoba","2021-11-15","Refuerzo"
2,"Córdoba","2021-11-16","1ra"
1,"Córdoba","2021-11-16","2da"
1,"Córdoba","2021-11-16","Refuerzo"
1,"Córdoba","2021-11-17","Refuerzo"
1,"Córdoba","2021-11-18","1ra"
3,"Córdoba","2021-11-18","2da"
1,"Córdoba","2021-11-18","Refuerzo"
1,"Córdoba","2021-11-19","2da"
1,"Córdoba","2021-11-19","Refuerzo"
1,"Córdoba","2021-11-23","1ra"
1,"Córdoba","2021-11-24","2da"
1,"Córdoba","2021-11-25","1ra"
4,"Córdoba","2021-11-25","2da"
1,"Córdoba","2021-11-26","1ra"
4,"Córdoba","2021-11-26","2da"
1,"Córdoba","2021-11-27","2da"
1,"Córdoba","2021-11-27","Refuerzo"
2,"Córdoba","2021-11-30","Refuerzo"
1,"Córdoba","2021-12-01","2da"
1,"Córdoba","2021-12-03","2da"
1,"Córdoba","2021-12-03","Refuerzo"
1,"Córdoba","2021-12-06","2da"
2,"Córdoba","2021-12-07","2da"
1,"Córdoba","2021-12-09","1ra"
1,"Córdoba","2021-12-09","2da"
1,"Córdoba","2021-12-10","1ra"
1,"Córdoba","2021-12-10","2da"
1,"Córdoba","2021-12-10","Refuerzo"
1,"Córdoba","2021-12-17","2da"
1,"Córdoba","2021-12-17","Adicional"
1,"Córdoba","2021-12-20","Adicional"
1,"Córdoba","2021-12-20","Refuerzo"
1,"Córdoba","2021-12-21","Refuerzo"
1,"Córdoba","2021-12-22","1ra"
1,"Córdoba","2021-12-22","2da"
3,"Córdoba","2021-12-23","Refuerzo"
1,"Entre Ríos","2021-03-03","1ra"
1,"Entre Ríos","2021-03-09","1ra"
1,"Entre Ríos","2021-03-26","1ra"
1,"Entre Ríos","2021-03-31","1ra"
1,"Entre Ríos","2021-04-06","1ra"
1,"Entre Ríos","2021-04-09","1ra"
1,"Entre Ríos","2021-04-14","1ra"
1,"Entre Ríos","2021-04-16","1ra"
1,"Entre Ríos","2021-04-22","1ra"
1,"Entre Ríos","2021-04-27","1ra"
1,"Entre Ríos","2021-05-06","1ra"
1,"Entre Ríos","2021-05-10","1ra"
1,"Entre Ríos","2021-05-12","2da"
2,"Entre Ríos","2021-05-14","2da"
1,"Entre Ríos","2021-05-19","1ra"
1,"Entre Ríos","2021-05-28","2da"
1,"Entre Ríos","2021-06-03","1ra"
1,"Entre Ríos","2021-06-04","1ra"
1,"Entre Ríos","2021-06-05","2da"
2,"Entre Ríos","2021-06-08","1ra"
1,"Entre Ríos","2021-06-10","1ra"
1,"Entre Ríos","2021-06-11","1ra"
1,"Entre Ríos","2021-06-12","1ra"
1,"Entre Ríos","2021-06-15","1ra"
1,"Entre Ríos","2021-06-16","2da"
1,"Entre Ríos","2021-06-19","1ra"
1,"Entre Ríos","2021-06-24","1ra"
2,"Entre Ríos","2021-06-28","1ra"
2,"Entre Ríos","2021-07-01","1ra"
2,"Entre Ríos","2021-07-02","1ra"
1,"Entre Ríos","2021-07-05","1ra"
2,"Entre Ríos","2021-07-08","1ra"
1,"Entre Ríos","2021-07-14","1ra"
1,"Entre Ríos","2021-07-15","1ra"
1,"Entre Ríos","2021-07-16","1ra"
1,"Entre Ríos","2021-07-17","2da"
1,"Entre Ríos","2021-07-20","2da"
1,"Entre Ríos","2021-07-23","2da"
1,"Entre Ríos","2021-07-27","1ra"
1,"Entre Ríos","2021-07-27","2da"
1,"Entre Ríos","2021-07-28","1ra"
1,"Entre Ríos","2021-07-29","2da"
1,"Entre Ríos","2021-07-30","2da"
2,"Entre Ríos","2021-08-02","1ra"
3,"Entre Ríos","2021-08-05","1ra"
1,"Entre Ríos","2021-08-05","2da"
1,"Entre Ríos","2021-08-06","2da"
2,"Entre Ríos","2021-08-09","1ra"
1,"Entre Ríos","2021-08-10","2da"
1,"Entre Ríos","2021-08-12","1ra"
1,"Entre Ríos","2021-08-12","2da"
2,"Entre Ríos","2021-08-13","2da"
1,"Entre Ríos","2021-08-14","1ra"
1,"Entre Ríos","2021-08-18","2da"
1,"Entre Ríos","2021-08-20","2da"
1,"Entre Ríos","2021-08-24","1ra"
1,"Entre Ríos","2021-08-27","2da"
1,"Entre Ríos","2021-09-03","1ra"
1,"Entre Ríos","2021-09-03","2da"
1,"Entre Ríos","2021-09-04","2da"
2,"Entre Ríos","2021-09-07","2da"
1,"Entre Ríos","2021-09-09","2da"
2,"Entre Ríos","2021-09-13","1ra"
1,"Entre Ríos","2021-09-13","2da"
1,"Entre Ríos","2021-09-16","2da"
2,"Entre Ríos","2021-09-20","2da"
2,"Entre Ríos","2021-09-21","2da"
2,"Entre Ríos","2021-09-23","2da"
1,"Entre Ríos","2021-09-24","2da"
1,"Entre Ríos","2021-10-01","1ra"
1,"Entre Ríos","2021-10-02","2da"
1,"Entre Ríos","2021-10-04","2da"
1,"Entre Ríos","2021-10-05","1ra"
2,"Entre Ríos","2021-10-07","1ra"
1,"Entre Ríos","2021-10-13","1ra"
1,"Entre Ríos","2021-10-14","2da"
1,"Entre Ríos","2021-10-15","1ra"
1,"Entre Ríos","2021-10-19","1ra"
1,"Entre Ríos","2021-10-19","2da"
2,"Entre Ríos","2021-10-20","1ra"
1,"Entre Ríos","2021-10-20","2da"
3,"Entre Ríos","2021-10-21","1ra"
1,"Entre Ríos","2021-10-22","1ra"
2,"Entre Ríos","2021-10-25","1ra"
4,"Entre Ríos","2021-10-26","1ra"
2,"Entre Ríos","2021-10-28","1ra"
1,"Entre Ríos","2021-10-29","2da"
1,"Entre Ríos","2021-10-30","1ra"
1,"Entre Ríos","2021-11-01","1ra"
1,"Entre Ríos","2021-11-02","1ra"
4,"Entre Ríos","2021-11-03","1ra"
2,"Entre Ríos","2021-11-04","1ra"
1,"Entre Ríos","2021-11-04","2da"
1,"Entre Ríos","2021-11-05","2da"
1,"Entre Ríos","2021-11-06","1ra"
1,"Entre Ríos","2021-11-08","1ra"
1,"Entre Ríos","2021-11-08","2da"
1,"Entre Ríos","2021-11-08","Adicional"
3,"Entre Ríos","2021-11-10","1ra"
1,"Entre Ríos","2021-11-11","1ra"
2,"Entre Ríos","2021-11-12","2da"
1,"Entre Ríos","2021-11-15","1ra"
1,"Entre Ríos","2021-11-15","Adicional"
1,"Entre Ríos","2021-11-16","2da"
3,"Entre Ríos","2021-11-19","2da"
1,"Entre Ríos","2021-11-23","2da"
1,"Entre Ríos","2021-11-24","2da"
1,"Entre Ríos","2021-11-26","2da"
2,"Entre Ríos","2021-11-29","2da"
1,"Entre Ríos","2021-11-30","2da"
2,"Entre Ríos","2021-12-01","2da"
2,"Entre Ríos","2021-12-01","Adicional"
1,"Entre Ríos","2021-12-03","1ra"
2,"Entre Ríos","2021-12-03","2da"
1,"Entre Ríos","2021-12-06","1ra"
1,"Entre Ríos","2021-12-07","1ra"
1,"Entre Ríos","2021-12-07","2da"
1,"Entre Ríos","2021-12-09","2da"
1,"Entre Ríos","2021-12-13","2da"
1,"Entre Ríos","2021-12-21","Adicional"
4,"Formosa","2021-03-09","1ra"
5,"Formosa","2021-03-20","1ra"
1,"Formosa","2021-03-24","1ra"
3,"Formosa","2021-03-28","1ra"
1,"Formosa","2021-03-31","1ra"
2,"Formosa","2021-04-11","1ra"
1,"Formosa","2021-04-24","1ra"
1,"Formosa","2021-04-29","1ra"
1,"Formosa","2021-05-03","1ra"
1,"Formosa","2021-05-07","1ra"
2,"Formosa","2021-05-18","1ra"
1,"Formosa","2021-05-19","1ra"
3,"Formosa","2021-05-23","2da"
1,"Formosa","2021-05-24","2da"
2,"Formosa","2021-05-27","2da"
2,"Formosa","2021-06-05","1ra"
1,"Formosa","2021-06-07","1ra"
3,"Formosa","2021-06-11","1ra"
1,"Formosa","2021-06-11","2da"
1,"Formosa","2021-06-12","1ra"
1,"Formosa","2021-06-13","1ra"
2,"Formosa","2021-06-16","1ra"
1,"Formosa","2021-06-20","1ra"
3,"Formosa","2021-06-22","2da"
1,"Formosa","2021-06-23","1ra"
3,"Formosa","2021-06-24","1ra"
1,"Formosa","2021-06-25","2da"
1,"Formosa","2021-06-26","1ra"
1,"Formosa","2021-06-29","1ra"
1,"Formosa","2021-07-03","2da"
1,"Formosa","2021-07-09","1ra"
1,"Formosa","2021-07-16","1ra"
2,"Formosa","2021-07-18","2da"
1,"Formosa","2021-07-21","1ra"
3,"Formosa","2021-07-22","1ra"
4,"Formosa","2021-07-23","1ra"
6,"Formosa","2021-07-24","1ra"
1,"Formosa","2021-07-28","1ra"
1,"Formosa","2021-07-28","2da"
1,"Formosa","2021-07-29","1ra"
1,"Formosa","2021-07-29","2da"
1,"Formosa","2021-07-31","2da"
2,"Formosa","2021-08-01","1ra"
1,"Formosa","2021-08-03","2da"
4,"Formosa","2021-08-07","2da"
1,"Formosa","2021-08-09","1ra"
3,"Formosa","2021-08-09","2da"
1,"Formosa","2021-08-11","2da"
1,"Formosa","2021-08-14","2da"
1,"Formosa","2021-08-15","1ra"
1,"Formosa","2021-08-17","2da"
1,"Formosa","2021-08-23","1ra"
3,"Formosa","2021-08-24","1ra"
1,"Formosa","2021-08-29","1ra"
3,"Formosa","2021-08-29","2da"
2,"Formosa","2021-09-02","1ra"
2,"Formosa","2021-09-03","2da"
1,"Formosa","2021-09-04","1ra"
8,"Formosa","2021-09-04","2da"
2,"Formosa","2021-09-05","2da"
1,"Formosa","2021-09-06","2da"
2,"Formosa","2021-09-07","2da"
1,"Formosa","2021-09-10","2da"
1,"Formosa","2021-09-19","2da"
1,"Formosa","2021-09-21","2da"
1,"Formosa","2021-09-22","1ra"
1,"Formosa","2021-09-24","1ra"
2,"Formosa","2021-09-25","2da"
2,"Formosa","2021-09-28","2da"
2,"Formosa","2021-09-30","2da"
1,"Formosa","2021-10-06","2da"
2,"Formosa","2021-10-14","1ra"
3,"Formosa","2021-10-19","1ra"
2,"Formosa","2021-10-23","1ra"
1,"Formosa","2021-10-23","2da"
3,"Formosa","2021-10-24","1ra"
3,"Formosa","2021-10-24","2da"
1,"Formosa","2021-10-25","2da"
1,"Formosa","2021-10-29","2da"
2,"Formosa","2021-10-30","2da"
1,"Formosa","2021-10-31","1ra"
4,"Formosa","2021-11-07","Adicional"
6,"Formosa","2021-11-11","Adicional"
3,"Formosa","2021-11-12","2da"
1,"Formosa","2021-11-13","1ra"
1,"Formosa","2021-11-13","Adicional"
3,"Formosa","2021-11-16","Adicional"
1,"Formosa","2021-11-18","Adicional"
1,"Formosa","2021-11-19","1ra"
3,"Formosa","2021-11-19","2da"
1,"Formosa","2021-11-19","Adicional"
1,"Formosa","2021-11-20","2da"
1,"Formosa","2021-11-22","1ra"
1,"Formosa","2021-11-23","1ra"
1,"Formosa","2021-11-25","Adicional"
1,"Formosa","2021-11-26","Adicional"
1,"Formosa","2021-11-28","2da"
2,"Formosa","2021-11-28","Adicional"
1,"Formosa","2021-11-29","Adicional"
1,"Formosa","2021-11-30","2da"
2,"Formosa","2021-11-30","Adicional"
2,"Formosa","2021-12-01","Adicional"
1,"Formosa","2021-12-01","Refuerzo"
1,"Formosa","2021-12-02","Adicional"
1,"Formosa","2021-12-03","Adicional"
6,"Formosa","2021-12-04","Adicional"
2,"Formosa","2021-12-07","Adicional"
1,"Formosa","2021-12-09","1ra"
1,"Formosa","2021-12-09","2da"
1,"Formosa","2021-12-09","Adicional"
2,"Formosa","2021-12-10","Adicional"
1,"Formosa","2021-12-11","2da"
1,"Formosa","2021-12-14","2da"
1,"Formosa","2021-12-14","Adicional"
1,"Formosa","2021-12-15","2da"
1,"Formosa","2021-12-16","2da"
1,"Formosa","2021-12-17","2da"
1,"Formosa","2021-12-21","2da"
1,"Formosa","2021-12-23","Adicional"
1,"Jujuy","2021-02-19","1ra"
1,"Jujuy","2021-02-20","1ra"
1,"Jujuy","2021-02-26","1ra"
1,"Jujuy","2021-03-03","1ra"
1,"Jujuy","2021-03-10","1ra"
1,"Jujuy","2021-03-12","2da"
1,"Jujuy","2021-03-13","2da"
1,"Jujuy","2021-03-16","1ra"
1,"Jujuy","2021-03-17","1ra"
1,"Jujuy","2021-03-19","1ra"
2,"Jujuy","2021-03-25","1ra"
4,"Jujuy","2021-03-27","1ra"
2,"Jujuy","2021-03-30","1ra"
2,"Jujuy","2021-04-01","1ra"
1,"Jujuy","2021-04-03","1ra"
1,"Jujuy","2021-04-06","1ra"
1,"Jujuy","2021-04-07","1ra"
1,"Jujuy","2021-04-08","1ra"
1,"Jujuy","2021-04-09","1ra"
1,"Jujuy","2021-04-15","1ra"
2,"Jujuy","2021-04-23","1ra"
2,"Jujuy","2021-04-26","1ra"
1,"Jujuy","2021-04-29","1ra"
1,"Jujuy","2021-04-30","1ra"
2,"Jujuy","2021-05-06","1ra"
2,"Jujuy","2021-05-10","1ra"
1,"Jujuy","2021-05-11","1ra"
1,"Jujuy","2021-05-12","2da"
1,"Jujuy","2021-05-18","1ra"
1,"Jujuy","2021-05-19","2da"
2,"Jujuy","2021-05-20","1ra"
3,"Jujuy","2021-05-20","2da"
2,"Jujuy","2021-05-21","1ra"
1,"Jujuy","2021-05-22","2da"
1,"Jujuy","2021-05-27","2da"
2,"Jujuy","2021-05-29","1ra"
1,"Jujuy","2021-05-29","2da"
1,"Jujuy","2021-05-30","1ra"
1,"Jujuy","2021-05-31","1ra"
1,"Jujuy","2021-06-02","1ra"
5,"Jujuy","2021-06-03","1ra"
1,"Jujuy","2021-06-03","2da"
4,"Jujuy","2021-06-04","1ra"
4,"Jujuy","2021-06-04","2da"
4,"Jujuy","2021-06-05","1ra"
5,"Jujuy","2021-06-06","1ra"
2,"Jujuy","2021-06-06","2da"
5,"Jujuy","2021-06-07","1ra"
1,"Jujuy","2021-06-07","2da"
5,"Jujuy","2021-06-08","1ra"
1,"Jujuy","2021-06-08","2da"
3,"Jujuy","2021-06-09","1ra"
3,"Jujuy","2021-06-10","1ra"
3,"Jujuy","2021-06-12","1ra"
1,"Jujuy","2021-06-12","2da"
1,"Jujuy","2021-06-13","1ra"
2,"Jujuy","2021-06-13","2da"
1,"Jujuy","2021-06-16","1ra"
1,"Jujuy","2021-06-17","2da"
1,"Jujuy","2021-06-18","1ra"
2,"Jujuy","2021-06-24","1ra"
2,"Jujuy","2021-06-26","1ra"
1,"Jujuy","2021-06-28","1ra"
1,"Jujuy","2021-06-29","2da"
4,"Jujuy","2021-06-30","1ra"
1,"Jujuy","2021-07-01","1ra"
1,"Jujuy","2021-07-01","2da"
2,"Jujuy","2021-07-03","2da"
1,"Jujuy","2021-07-04","2da"
1,"Jujuy","2021-07-05","1ra"
2,"Jujuy","2021-07-06","1ra"
2,"Jujuy","2021-07-06","2da"
1,"Jujuy","2021-07-07","1ra"
2,"Jujuy","2021-07-08","1ra"
1,"Jujuy","2021-07-09","2da"
1,"Jujuy","2021-07-12","1ra"
1,"Jujuy","2021-07-13","1ra"
1,"Jujuy","2021-07-14","1ra"
1,"Jujuy","2021-07-14","2da"
1,"Jujuy","2021-07-15","1ra"
1,"Jujuy","2021-07-16","2da"
2,"Jujuy","2021-07-17","2da"
1,"Jujuy","2021-07-22","1ra"
3,"Jujuy","2021-07-23","1ra"
1,"Jujuy","2021-07-24","1ra"
1,"Jujuy","2021-07-24","2da"
2,"Jujuy","2021-07-26","1ra"
2,"Jujuy","2021-07-29","1ra"
1,"Jujuy","2021-07-30","1ra"
1,"Jujuy","2021-08-02","1ra"
3,"Jujuy","2021-08-03","1ra"
1,"Jujuy","2021-08-03","2da"
3,"Jujuy","2021-08-04","1ra"
1,"Jujuy","2021-08-05","1ra"
3,"Jujuy","2021-08-05","2da"
1,"Jujuy","2021-08-06","1ra"
6,"Jujuy","2021-08-09","1ra"
1,"Jujuy","2021-08-09","2da"
2,"Jujuy","2021-08-10","1ra"
1,"Jujuy","2021-08-11","1ra"
2,"Jujuy","2021-08-11","2da"
1,"Jujuy","2021-08-12","1ra"
2,"Jujuy","2021-08-12","2da"
2,"Jujuy","2021-08-13","2da"
1,"Jujuy","2021-08-14","2da"
1,"Jujuy","2021-08-17","1ra"
1,"Jujuy","2021-08-17","2da"
2,"Jujuy","2021-08-18","2da"
1,"Jujuy","2021-08-19","1ra"
1,"Jujuy","2021-08-20","2da"
1,"Jujuy","2021-08-21","1ra"
1,"Jujuy","2021-08-24","1ra"
4,"Jujuy","2021-08-26","2da"
2,"Jujuy","2021-08-27","2da"
1,"Jujuy","2021-08-30","1ra"
1,"Jujuy","2021-08-31","1ra"
1,"Jujuy","2021-09-01","1ra"
2,"Jujuy","2021-09-01","2da"
2,"Jujuy","2021-09-02","1ra"
1,"Jujuy","2021-09-02","2da"
1,"Jujuy","2021-09-03","2da"
4,"Jujuy","2021-09-06","2da"
3,"Jujuy","2021-09-09","2da"
1,"Jujuy","2021-09-10","2da"
3,"Jujuy","2021-09-13","2da"
1,"Jujuy","2021-09-14","2da"
3,"Jujuy","2021-09-15","2da"
1,"Jujuy","2021-09-17","2da"
1,"Jujuy","2021-09-18","2da"
1,"Jujuy","2021-09-20","2da"
2,"Jujuy","2021-09-21","2da"
1,"Jujuy","2021-09-22","1ra"
1,"Jujuy","2021-09-22","2da"
1,"Jujuy","2021-09-24","2da"
1,"Jujuy","2021-09-29","1ra"
2,"Jujuy","2021-09-29","2da"
1,"Jujuy","2021-09-30","1ra"
5,"Jujuy","2021-09-30","2da"
3,"Jujuy","2021-10-01","2da"
1,"Jujuy","2021-10-12","2da"
1,"Jujuy","2021-10-13","1ra"
1,"Jujuy","2021-10-14","1ra"
5,"Jujuy","2021-10-14","2da"
3,"Jujuy","2021-10-15","1ra"
1,"Jujuy","2021-10-15","2da"
1,"Jujuy","2021-10-17","2da"
1,"Jujuy","2021-10-18","1ra"
1,"Jujuy","2021-10-19","1ra"
2,"Jujuy","2021-10-19","2da"
3,"Jujuy","2021-10-20","1ra"
2,"Jujuy","2021-10-21","1ra"
1,"Jujuy","2021-10-21","2da"
4,"Jujuy","2021-10-22","1ra"
1,"Jujuy","2021-10-23","1ra"
1,"Jujuy","2021-10-24","1ra"
2,"Jujuy","2021-10-25","1ra"
2,"Jujuy","2021-10-25","2da"
1,"Jujuy","2021-10-26","1ra"
1,"Jujuy","2021-10-27","2da"
1,"Jujuy","2021-10-28","2da"
1,"Jujuy","2021-11-01","1ra"
2,"Jujuy","2021-11-03","1ra"
1,"Jujuy","2021-11-04","1ra"
1,"Jujuy","2021-11-05","1ra"
1,"Jujuy","2021-11-09","2da"
2,"Jujuy","2021-11-10","1ra"
1,"Jujuy","2021-11-10","Adicional"
1,"Jujuy","2021-11-11","1ra"
1,"Jujuy","2021-11-11","Adicional"
2,"Jujuy","2021-11-12","Adicional"
1,"Jujuy","2021-11-13","2da"
1,"Jujuy","2021-11-13","Refuerzo"
2,"Jujuy","2021-11-15","2da"
1,"Jujuy","2021-11-15","Adicional"
1,"Jujuy","2021-11-16","Adicional"
1,"Jujuy","2021-11-17","1ra"
1,"Jujuy","2021-11-17","Adicional"
1,"Jujuy","2021-11-19","2da"
1,"Jujuy","2021-11-19","Refuerzo"
1,"Jujuy","2021-11-20","2da"
2,"Jujuy","2021-11-24","2da"
1,"Jujuy","2021-11-26","Adicional"
1,"Jujuy","2021-11-29","1ra"
3,"Jujuy","2021-11-29","2da"
1,"Jujuy","2021-11-30","2da"
1,"Jujuy","2021-11-30","Adicional"
1,"Jujuy","2021-12-01","1ra"
1,"Jujuy","2021-12-04","1ra"
1,"Jujuy","2021-12-06","1ra"
1,"Jujuy","2021-12-06","2da"
1,"Jujuy","2021-12-07","2da"
1,"Jujuy","2021-12-09","Refuerzo"
1,"Jujuy","2021-12-10","Refuerzo"
1,"Jujuy","2021-12-11","2da"
1,"Jujuy","2021-12-13","2da"
1,"Jujuy","2021-12-15","2da"
1,"Jujuy","2021-12-16","2da"
1,"Jujuy","2021-12-17","Refuerzo"
1,"Jujuy","2021-12-18","2da"
1,"Jujuy","2021-12-19","2da"
1,"Jujuy","2021-12-19","Adicional"
1,"Jujuy","2021-12-20","2da"
1,"Jujuy","2021-12-20","Adicional"
1,"Jujuy","2021-12-20","Refuerzo"
1,"Jujuy","2021-12-21","Refuerzo"
1,"Jujuy","2021-12-22","1ra"
1,"Jujuy","2021-12-22","Refuerzo"
1,"La Pampa","2021-01-07","1ra"
1,"La Pampa","2021-01-29","2da"
1,"La Pampa","2021-02-03","1ra"
1,"La Pampa","2021-02-24","2da"
1,"La Pampa","2021-03-03","1ra"
1,"La Pampa","2021-03-13","1ra"
1,"La Pampa","2021-03-17","1ra"
1,"La Pampa","2021-04-10","1ra"
1,"La Pampa","2021-04-15","1ra"
1,"La Pampa","2021-04-16","1ra"
1,"La Pampa","2021-04-29","2da"
1,"La Pampa","2021-05-03","1ra"
2,"La Pampa","2021-05-10","2da"
1,"La Pampa","2021-05-11","2da"
1,"La Pampa","2021-06-11","1ra"
1,"La Pampa","2021-06-14","2da"
1,"La Pampa","2021-06-16","1ra"
